depth: sudoku
61: 57862419369253178434179862526945783113728645985491326791384257..2.1....84.637..1.
62: 57862419369253178434179862526945783113728645985491326791384257..2.1....84.637..1.
63: 578624193692531784341798625269457831137286459854913267913842576.2.1....84.637..1.
64: 57862419369253178434179862526945783113728645985491326791384257672.1....84.637..1.
65: 57862419369253178434179862526945783113728645985491326791384257672.1....84.637..1.
66: 5786241936925317843417986252694578311372864598549132679138425767251....84.637..1.
67: 5786241936925317843417986252694578311372864598549132679138425767251....84.637..1.
68: 57862419369253178434179862526945783113728645985491326791384257672516...84.637..1.
69: 578624193692531784341798625269457831137286459854913267913842576725169..84.637..1.
70: 5786241936925317843417986252694578311372864598549132679138425767251693.84.637..1.
71: 5786241936925317843417986252694578311372864598549132679138425767251693484.637..1.
72: 5786241936925317843417986252694578311372864598549132679138425767251693484.637..1.
73: 5786241936925317843417986252694578311372864598549132679138425767251693484.637..1.
74: 57862419369253178434179862526945783113728645985491326791384257672516934848637..1.
75: 57862419369253178434179862526945783113728645985491326791384257672516934848637..1.
76: 57862419369253178434179862526945783113728645985491326791384257672516934848637..1.
77: 57862419369253178434179862526945783113728645985491326791384257672516934848637..1.
78: 578624193692531784341798625269457831137286459854913267913842576725169348486375.1.
79: 57862419369253178434179862526945783113728645985491326791384257672516934848637591.
80: 57862419369253178434179862526945783113728645985491326791384257672516934848637591.
81: 578624193692531784341798625269457831137286459854913267913842576725169348486375912
